Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,class
53054,924.223,372.240606,184.9815247,2.012312346,0.867784474,54176,259.9046956,0.710284628,0.979289722,0.780502778,0.698216937,0.007016259,0.001028601,0.487506891,0.981016135,3
33594,680.407,256.2317016,167.3011797,1.531559443,0.75741888,33935,206.8168496,0.727394769,0.989951378,0.911872327,0.807147782,0.007627306,0.001996931,0.651487542,0.997791897,2
62280,946.201,367.9646308,216.2749754,1.70137405,0.809035175,62830,281.5978673,0.728915522,0.99124622,0.874161474,0.765285149,0.005908231,0.001250059,0.585661359,0.996429038,1
29220,628.213,231.7985488,160.8532882,1.441055706,0.720036974,29562,192.8835387,0.765923984,0.988431094,0.930414001,0.832117111,0.007932873,0.002346108,0.692418886,0.997814187,2
38424,724.092,268.0183559,183.1264127,1.463570175,0.730174499,38899,221.1853437,0.70840708,0.987788889,0.920926434,0.825261923,0.006975285,0.001995763,0.681057241,0.996775066,2
28377,623.184,227.5483211,159.6851377,1.424981212,0.712409851,28765,190.0808211,0.778518519,0.986511385,0.918213673,0.835342666,0.008018759,0.002408494,0.697797369,0.994348141,2
31797,656.833,233.3872303,174.0847483,1.340652944,0.666052127,32174,201.2093383,0.781253071,0.988282464,0.926160133,0.862126595,0.007339914,0.002501237,0.743262266,0.996456746,2
34078,688.536,246.7094369,176.3761518,1.398768679,0.699211891,34522,208.3013615,0.725619624,0.987138636,0.903297188,0.84431858,0.007239552,0.00226943,0.712873865,0.997145635,2
31618,661.607,244.5669995,165.2469073,1.480009541,0.737203003,32023,200.6421888,0.782139765,0.98735284,0.907703638,0.820397638,0.007735056,0.002161428,0.673052285,0.996123803,2
33615,683.001,258.2694941,166.23088,1.553679402,0.76533392,34026,206.8814813,0.802075877,0.987921002,0.905524699,0.801029491,0.007683162,0.001951254,0.641648245,0.996915661,2
30066,636.73,226.6510843,168.991579,1.341197506,0.666391138,30438,195.6558718,0.748953766,0.987778435,0.931911975,0.863247014,0.007538452,0.002582274,0.745195407,0.999454222,2
31175,661.358,234.0135647,169.9779014,1.376729345,0.687315313,31576,199.231631,0.723401787,0.987300481,0.895659844,0.851367874,0.00750645,0.002432671,0.724827256,0.997890954,2
35240,697.995,251.5585481,178.7095536,1.40763906,0.703788679,35620,211.8229486,0.763034817,0.989331836,0.9089524,0.84204234,0.007138438,0.002213699,0.709035303,0.998065788,2
